pmid,title,abstract,year,query
41948713,Enhancing Early Diagnosis: Multimodal AI Approaches for Neurodegenerative Diseases.,"Neurodegenerative diseases such as Alzheimer's and Parkinson's impose a staggering global burden, yet timely identification remains hindered by a fundamental mismatch between the slow unfolding of pathology and the static nature of traditional diagnostic frameworks. While conventional clinical markers often fail to identify decline until irreversible neuronal loss has occurred, artificial intelligence (AI)-driven biomarkers derived from neuroimaging, electrophysiology, and digital phenotyping offer a transformative proactive paradigm. This review evaluates how machine-learning models extract high- dimensional, subvisual patterns from MRI, PET, and EEG datasets to detect preclinical deviations that outpace traditional markers in predictive timelines. We argue that the primary value of these technologies lies in a categorical shift toward continuous, temporally informed disease modeling designed to fill the ""detection gap"" between early protein accumulation and overt clinical impairment. By synthesizing evidence across various modalities, we highlight the superior performance of multimodal fusion architectures in capturing the biological complexity of neurodegeneration. However, clinical translation faces significant hurdles, including data heterogeneity, the ""black-box"" nature of deep learning, and the necessity for global equity in dataset representation. Ultimately, by integrating explainable AI with longitudinal data streams, these biomarkers can redefine neurodegenerative care-transforming diagnosis from a reactive confirmation of damage into a precise tool for risk stratification, trial enrichment, and early therapeutic intervention.",2026,Parkinson's disease machine learning biomarkers
41942436,Quantitative susceptibility mapping and MRS-based multimodal machine learning for early Parkinson's disease classification.,"Parkinson's disease (PD) is a complex, progressive neurodegenerative disorder characterized by high heterogeneity and diagnostic challenges in its early stages. This study aimed to develop and validate a multimodal machine learning model for early PD detection by integrating neurochemical metabolites and QSM-based radiomic features from multicenter PD cohorts. Several model architectures, including Random Forest, Support Vector Machine, eXtreme Gradient Boosting (XGBoost), and Light Gradient Boosting Machine, were evaluated for comparing appropriate methods. The XGBoost model demonstrated superior predictive performance, achieving AUC values of 0.984 and 0.973 in the training and test cohorts, respectively. Feature importance analysis identified key diagnostic biomarkers using SHapley Additive exPlanations (SHAP) and enhanced model interpretability. This study can provide new insights into the neurobiological mechanisms underlying early PD.",2026,Parkinson's disease machine learning biomarkers
41930586,AI-Driven Biomarker Discovery in Motor-Related Neurodegenerative Diseases.,"Parkinson's disease (PD), Huntington's disease (HD), amyotrophic lateral sclerosis (ALS), and spinocerebellar ataxias (SCAs) are examples of neurodegenerative disorders (NDDs) that share overlapping neuropathological processes and largely affect motor coordination. For early diagnosis, illness monitoring, and treatment targeting, it is essential to find trustworthy biomarkers that represent motor circuit dysfunction. The purpose of this study is to summarize the state of the art regarding molecular, neurochemical, and imaging biomarkers that are pertinent to motor impairment and to investigate the function of artificial intelligence (AI) in their identification and verification Methods: With an emphasis on biomarker discovery, validation, and AI/ML applications in PD, HD, ALS, and SCAs, a thorough literature search was carried out in the PubMed, Scopus, and Google Scholar databases for research published between 2015 and 2025. The motor-specific correlations of key molecular (α-synuclein, tau, neurofilament light chain, TDP-43, mutant huntingtin), neuroimaging, and digital biomarkers were carefully examined Results: AI-driven methods, such as deep learning and machine learning, have shown great promise in combining multimodal data from digital, fluid, and imaging sources. These techniques enhanced the detection of disease-specific biomarker signatures, especially those associated with deficiencies in motor coordination Discussion: Data heterogeneity, biomarker standardization, model interpretability, and limited cross-disease validation are still issues despite encouraging developments. Improving the clinical reliability of AI-based biomarker models requires filling in these gaps Conclusion: An effective foundation for deciphering intricate motor neurological pathways is provided by AI-assisted biomarker discovery. Transparent algorithms, multicenter data integration, and ethical frameworks should be given top priority in future research to guarantee clinical translation and better patient stratification.",2026,Parkinson's disease machine learning biomarkers
41912640,Machine learning classification of early-stage Parkinson's disease using sit-to-walk biomechanical features.,"Early-stage Parkinson’s disease (PD) impairs motor control during complex tasks requiring coordinated postural adjustment and locomotion. The sit-to-walk (STW) task integrates standing and gait initiation (GI), placing balance demands on people with PD; however, its potential for early PD detection remains underexplored. We aimed to identify STW-related biomechanical biomarkers of early-stage PD and evaluate the performance of a machine-learning-based classification model. We enrolled 106 participants (63 with early-stage PD and 43 age-matched healthy controls). Three-dimensional motion capture, force plates, and surface electromyography assessed participants’ STW task performed at a self-selected speed. We extracted 200 kinematic, kinetic, and neuromuscular variables across three task phases, with Phase 2 (P2) corresponding to the GI phase encompassing the first stepping cycle, during which dynamic balance control is challenged. Weighted feature importance and stepwise binary logistic regression identified three variables: mean center of mass (COM) speed during the entire task; anteroposterior center of pressure-COM displacement during P2; and forward thoracic range of motion during P2, indicating trunk flexion associated with postural adjustment during GI. A random forest classifier incorporating these variables achieved 84.9% accuracy. These biomarkers may be associated with compensatory movement strategies related to postural stability and support objective early screening of PD. The online version contains supplementary material available at 10.1038/s41598-026-45122-y.",2026,Parkinson's disease machine learning biomarkers
41910849,Enhancing Parkinson's Disease Staging: An Integrative Deep Learning Framework for Multimodal Feature Selection.,"Parkinson's disease (PD) affects 10 million globally, with accurate staging essential for personalized treatment planning. Current UPDRS assessments achieve < 93% accuracy due to subjective clinical judgment and unimodal data limitations, failing to capture complex genetic-neuroimaging-clinical interactions driving disease heterogeneity. This study introduces MAFNet, a novel deep learning framework pioneering Iterative Adaptive Vold-Kalman Filter (IAVKF) temporal denoising, Accelerated Binary Particle Swarm Optimization (ABPSO) swarm feature selection, Multilayer Perceptron-Lagrangian Support Vector Machine (MLP-LSVM) classification, and Graph-Attention Based Multimodal Fusion Network (GAMF). Applied to PPMI cohort (200 patients) with genetic SNPs (50), neuroimaging voxels (1,024), and UPDRS-III scores, the end-to-end pipeline delivers 97.6% accuracy, 98.2% precision, 96.8% recall, and 97.3% F1-score-outperforming CNN (92.4%), Autoencoder (90.8%), InceptoFormer (96.6%), and HCT (97.0%). IAVKF boosts SNR + 15.2dB (+ 2.9% accuracy vs. PCA/t-SNE); ABPSO reduces 1,276→340 features (73% reduction); regularization cuts overfitting gap to 0.9% (vs. 4.2% baseline). SHAP interpretability validates clinical plausibility (top predictors: LRRK2 SNPs, UPDRS-III tremor, hippocampal volume). Five-fold CV confirms stability with the Indian cohort external validation. Real-time inference (0.2s/patient, RTX 3090) enables clinical deployment. Future scope includes longitudinal temporal modelling, modality-agnostic fusion, edge deployment, federated learning, and extension to Alzheimer's/ALS. MAFNet transforms PD staging from subjective assessments to objective precision medicine, enabling biomarker discovery, progression forecasting, and personalized therapies across diverse global populations.",2026,Parkinson's disease machine learning biomarkers
41898140,Insulin Resistance Surrogates and Cognitive Impairment in Parkinson's Disease: A Cross-Sectional Study with Interpretable Machine Learning.,"<b>Background</b>: Insulin resistance (IR) has emerged as a key player in the pathogenesis of cognitive impairment in Parkinson's disease (PD). This study aims to systematically compare glucolipotoxicity-based (TyG, AIP) versus adiposity-driven (TyG-BMI, METS-IR) IR indices for their associations with PD dementia and to develop a clinically applicable nomogram using an interpretable machine learning framework. <b>Methods</b>: This cross-sectional study analyzed 251 PD patients: 42 with normal cognition, 160 with mild cognitive impairment (PD-MCI) and 49 with dementia (PDD). Logistic and linear regression examined associations between IR indices and cognitive impairment across different domains. Six machine learning models were compared for dementia classification, with the optimal model interpreted using SHapley Additive exPlanations (SHAP) to construct a nomogram. <b>Results</b>: Each standard deviation increase in TyG and AIP was linked to 79% (OR 1.79, 95%CI 1.04-3.07) and 75% (OR 1.75, 95%CI 1.05-2.91) higher risk of PDD, respectively, but not PD-MCI. In contrast, TyG-BMI and METS-IR showed no significant associations with either condition. TyG showed linear negative correlations with memory and orientation, and inverted U-shaped associations with visuospatial function and attention. AIP exhibited linear negative correlation with memory. The logistic regression model achieved the highest performance (AUC of 0.759) among six machine learning models. Crucially, SHAP analysis visually quantified TyG as a top modifiable predictor, facilitating the construction of an interpretable clinical nomogram. <b>Conclusions</b>: Glucolipotoxicity-based indices (TyG, AIP), unlike BMI-dependent markers (TyG-BMI, METS-IR), are robustly linked to PD dementia through domain-specific linear or nonlinear patterns. This suggests metabolic dysregulation predicts risk independent of weight loss. Furthermore, integrating SHAP-based interpretability transforms complex algorithms into a transparent, actionable tool for early risk stratification.",2026,Parkinson's disease machine learning biomarkers
41891752,Integrating Eye Tracking and Inertial Sensing for Enhanced Freezing of Gait Detection in Parkinson's Disease.,"Freezing of gait (FOG), a disabling symptom in Parkinson's disease, presents a major challenge for wearable classification algorithms that struggle to distinguish freezes from voluntary stops. To address this ambiguity, we evaluated whether incorporating eye-gaze kinematics could improve classification accuracy compared to using ankle-mounted inertial measurement units (IMUs) alone. We analyzed data from 10 participants performing standardized walking tasks and compared two deep learning classifiers differing only in their inputs: an IMU-only model (bilateral ankle accelerometer and gyroscope) and an IMU + Gaze model that improved macro-averaged F1 from 0.657 (95% bootstrap CI: 0.461-0.756) to 0.757 (0.591-0.832; Δ = 0.099, bootstrap p = 0.016). Class level improvements were largest for standing (F1: 0.600 vs. 0.356; Δ = 0.244, p = 0.019, Holm-corrected p = 0.056), driven by recall increasing from 36.4% to 81.8%, and standing windows misclassified as freezing reduced from 59.1% (13/22) to 13.6% (3/22). These findings show that gaze kinematics complement ankle kinematics for disambiguating voluntary stopping from FOG and potentially strengthen automated monitoring, clinician-facing assessment, and patient-facing assistive technologies.",2026,Parkinson's disease machine learning biomarkers
41889025,Impact of region-based shape alterations in MRI as indicators of Parkinson's Disease.,"Parkinson's Disease (PD) is a neuro-degenerative condition that progressively impairs movement, resulting from the loss of dopamine-producing brain cells. Early detection of such a condition helps slowing their progression and allows more effective management of the disease. MRIs are the most common type of imaging technique used for detection of PD without any specific risk to patients. Therefore, in this study, a novel MRI-based method has been proposed to identify structural biomarkers of certain regions within the brain for the detection of PD. The objective of this study is to analyze the alterations in geometrical shapes of the different regions of the brain in PD. The study involves segmentation of six regions of interest in analysis and identification of their geometrical shapes in PD. Several statistical analyses have been performed on the segmented regions to show the most pronounced shape alterations in PD. Further, a geometrical feature-based classification model is subsequently used to validate these findings. The proposed method achieved good accuracy, surpassing several cutting-edge approaches. The results indicate that pinpointing key regions for PD detection may aid early PD detection with low computational cost and reveal subtle brain changes invisible to the human eye.",2026,Parkinson's disease machine learning biomarkers
41884666,Machine learning analysis of population-wide plasma proteins identifies hormonal biomarkers of Parkinson's disease.,"With the number of Parkinson's patients expected to rise due to an aging population, there is an increasing need to identify new diagnostic markers. These markers should be affordable and suitable for routine use to monitor the population, help stratify patients for treatment pathways, and provide new avenues for therapy. Genetic predisposition and familial forms account for approximately 10% of Parkinson's disease (PD) cases, leaving a large fraction of the population with minimal effective markers for identifying high-risk individuals. The establishment of population-wide omics and longitudinal health monitoring studies provides an opportunity to apply machine learning approaches to these unbiased cohorts to identify novel PD markers. In this study, we present the application of three machine learning models to identify protein plasma biomarkers of PD using plasma proteomic measurements from 43,408 UK Biobank subjects as the training and test set and an additional 103 samples from the Parkinson's Progression Markers Initiative (PPMI) as external validation. We identified a group of highly predictive protein plasma markers, including known markers Dopa decarboxylase (DDC) and Calbindin 2 (CALB2) as well as new markers involved in the JAK-STAT and PI3K-AKT pathways and hormonal signaling. We further demonstrated that these features are well correlated with UPDRS severity scores and stratified these into protective and risk-associated features that potentially contribute to the pathogenesis of PD.",2026,Parkinson's disease machine learning biomarkers
41884598,Distinct neuroinflammatory profiles in progressive supranuclear palsy associated with <i>HLA</i> haplotypes.,"Progressive supranuclear palsy is a neurodegenerative four-repeat tauopathy characterized by atypical parkinsonism and cognitive behavioural changes and a relatively uniform neuropathology. Building on prior identification of rare <i>HLA</i> (human leukocyte antigen) haplotypes in progressive supranuclear palsy, this study investigates whether these haplotypes correlate with distinct clinical and immunopathological phenotypes. In addition to retrospective collection of clinical data, we evaluated T and B cells, microglia and phosphorylated-tau (p-Tau) cytopathologies in 32 progressive supranuclear palsy cases. Machine learning was used to analyse whether pathological variables and their ratios, or the sequence of clinical symptoms are different <i>HLA</i>-defined groups, including one linked to narcolepsy (<i>DRB1</i>*15:01-<i>DQB1</i>*06:02). Neuropathology revealed regional differences in the severity of microglia load, density of cytotoxic T cells and p-Tau cytopathologies between groups. Machine learning revealed that specific ratios of neuroinflammatory markers reliably distinguished <i>HLA</i> haplotypes. Additionally, symptom progression sequences varied by <i>HLA</i> haplotype, suggesting a potential effect of neuroinflammatory profiles on disease trajectory. These findings support the notion that progressive supranuclear palsy pathology might be associated with various aetiological-pathogenic events rarely including targetable autoimmune mechanisms as well. The <i>HLA</i> haplotype-dependent diversity of neuroinflammatory markers should be evaluated in clinical and biomarker studies in, and beyond, progressive supranuclear palsy to understand its relevance for patient stratification in disease modifying therapy trials.",2026,Parkinson's disease machine learning biomarkers
